labels,geodesic,functional,structural
4,0.5146177,0.343755586610202,0.38554145698036885
120,0.4725824,0.9004124746271129,0.5720580170652286
126,0.48402843,0.7336168741803073,0.23510431839771376
126,0.4676902,0.7336168741803073,0.23510431839771376
160,0.5456912,0.3404243415901438,0.2515489504338802
8,0.67777026,0.44442243189164365,0.2837752197812288
12,0.6487495,0.268619469494344,0.0497327343964936
10,0.7077704,0.30920462065267573,0.4466535570589631
10,0.717428,0.30920462065267573,0.4466535570589631
96,0.7437198,0.3851151858622317,0.12303596053224948
9,0.77098095,0.4192658845135324,0.5696292867072185
9,0.72195184,0.4192658845135324,0.5696292867072185
9,0.7327097,0.4192658845135324,0.5696292867072185
8,0.70486,0.44442243189164365,0.2837752197812288
9,0.8937659,0.4192658845135324,0.5696292867072185
51,0.8566081,0.3244980839735909,0.3158875891190925
9,0.8554059,0.4192658845135324,0.5696292867072185
9,0.816579,0.4192658845135324,0.5696292867072185
55,0.77712506,0.5246822794342356,0.38852094341238763
55,0.7649819,0.5246822794342356,0.38852094341238763
8,0.80610454,0.44442243189164365,0.2837752197812288
53,0.8926372,0.4371579939774053,0.41276080318713343
96,0.76740265,0.3851151858622317,0.12303596053224948
96,0.780615,0.3851151858622317,0.12303596053224948
55,0.80780584,0.5246822794342356,0.38852094341238763
72,0.40408623,0.572620055247687,0.25395336738049823
69,0.37033355,0.4259315578437315,0.08744374154232207
69,0.441621,0.4259315578437315,0.08744374154232207
69,0.49774072,0.4259315578437315,0.08744374154232207
70,0.5671328,0.26660982604354855,0.46759185347206056
85,0.4331162,0.38816477152264284,0.15593624712459433
89,0.4168784,0.3760428211917701,0.5199829756568659
170,0.45586783,0.5669627060967515,0.04622292364022449
72,0.46017045,0.572620055247687,0.25395336738049823
83,0.4902905,0.3046725881059258,0.17386808286649869
83,0.4570772,0.3046725881059258,0.17386808286649869
84,0.47760192,0.30366296986849095,0.13453805677597422
85,0.43755686,0.38816477152264284,0.15593624712459433
102,0.41040367,0.5087383741814517,0.056297490983952696
102,0.3976622,0.5087383741814517,0.056297490983952696
102,0.37615928,0.5087383741814517,0.056297490983952696
115,0.34615034,0.42257523453018164,0.02266452811522474
108,0.3497496,0.31334509141436184,0.19022128393521526
147,0.53705627,0.29169896882409896,0.3320862578232159
147,0.54194033,0.29169896882409896,0.3320862578232159
100,0.49286827,0.41238924345015215,0.12317449151570474
101,0.4536091,0.40906283694510037,0.14353233519645603
151,0.7718169,0.43775033660264917,0.14542242978266454
150,0.75669456,0.3651508756757127,0.2395659438732138
